epoch,step,test_loss,test_mae,train_loss,train_mae_epoch,train_mae_step,valid_loss,valid_mae
0,4,,,,,321.6653137207031,,
0,5,,,,,,144056.40625,237.4442901611328
0,5,,,814513.5625,562.0543212890625,,,
1,9,,,,,196.66453552246094,,
1,11,,,,,,133880.890625,234.7207489013672
1,11,,,178587.125,271.7962951660156,,,
2,14,,,,,154.97171020507812,,
2,17,,,,,,129330.65625,235.1165008544922
2,17,,,149653.96875,245.12754821777344,,,
3,19,,,,,215.60595703125,,
3,23,,,,,,131424.265625,238.7292938232422
3,23,,,162659.75,260.11517333984375,,,
4,24,,,,,234.77113342285156,,
4,29,,,,,162.49244689941406,,
4,29,,,,,,126520.4921875,238.510986328125
4,29,,,157847.84375,255.04605102539062,,,
5,34,,,,,143.6432342529297,,
5,35,,,,,,122451.84375,244.51246643066406
5,35,,,137641.9375,240.31317138671875,,,
6,39,,,,,191.8424530029297,,
6,41,,,,,,153234.15625,261.90924072265625
6,41,,,124918.2890625,232.06581115722656,,,
7,44,,,,,264.5729064941406,,
7,47,,,,,,141814.71875,253.93284606933594
7,47,,,148604.953125,249.6764678955078,,,
8,49,,,,,234.12973022460938,,
8,53,,,,,,178844.375,284.9559020996094
8,53,,,134424.65625,238.01075744628906,,,
9,54,,,,,313.46453857421875,,
9,59,,,,,196.16709899902344,,
9,59,,,,,,127917.078125,251.95350646972656
9,59,,,148718.9375,254.28575134277344,,,
10,64,,,,,183.1643829345703,,
10,65,,,,,,124352.4765625,256.9859924316406
10,65,,,125953.796875,229.78076171875,,,
11,69,,,,,253.49237060546875,,
11,71,,,,,,121086.796875,247.90065002441406
11,71,,,154181.84375,262.03662109375,,,
12,74,,,,,282.02984619140625,,
12,77,,,,,,122637.6953125,244.37973022460938
12,77,,,129544.984375,247.50741577148438,,,
13,79,,,,,215.76573181152344,,
13,83,,,,,,120143.0,246.3052215576172
13,83,,,135527.5,246.0061798095703,,,
14,84,,,,,210.50961303710938,,
14,89,,,,,184.346435546875,,
14,89,,,,,,129205.7265625,249.3215789794922
14,89,,,127315.5078125,236.46214294433594,,,
15,94,,,,,187.7541046142578,,
15,95,,,,,,122798.59375,255.02236938476562
15,95,,,133999.40625,241.50454711914062,,,
16,99,,,,,249.20594787597656,,
16,101,,,,,,121875.3515625,245.68194580078125
16,101,,,138469.078125,250.995361328125,,,
17,104,,,,,226.87973022460938,,
17,107,,,,,,122243.3984375,243.91064453125
17,107,,,122576.1484375,225.42941284179688,,,
18,109,,,,,307.4507141113281,,
18,113,,,,,,117065.796875,243.8986358642578
18,113,,,132654.21875,245.7827911376953,,,
19,114,,,,,219.83209228515625,,
19,119,,,,,288.45989990234375,,
19,119,,,,,,118682.96875,242.32643127441406
19,119,,,130196.546875,246.1244354248047,,,
20,124,,,,,248.1953125,,
20,125,,,,,,117365.4765625,247.15122985839844
20,125,,,138098.28125,240.21910095214844,,,
21,129,,,,,271.76519775390625,,
21,131,,,,,,121680.8046875,241.78228759765625
21,131,,,134254.671875,256.8672790527344,,,
22,134,,,,,317.67724609375,,
22,137,,,,,,118448.171875,240.87881469726562
22,137,,,146983.421875,259.6038818359375,,,
23,139,,,,,232.0170135498047,,
23,143,,,,,,162988.171875,268.6259765625
23,143,,,128732.9375,246.1085205078125,,,
24,144,,,,,279.9400329589844,,
24,149,,,,,340.5119934082031,,
24,149,,,,,,207634.296875,304.9027099609375
24,149,,,152902.859375,255.7704315185547,,,
25,154,,,,,277.8476257324219,,
25,155,,,,,,130741.6015625,244.0405731201172
25,155,,,146999.140625,256.7571105957031,,,
26,159,,,,,255.64175415039062,,
26,161,,,,,,115006.5234375,241.23976135253906
26,161,,,117346.671875,220.91314697265625,,,
27,164,,,,,227.09950256347656,,
27,167,,,,,,114760.203125,241.38218688964844
27,167,,,103766.671875,228.27142333984375,,,
28,169,,,,,244.98451232910156,,
28,173,,,,,,137295.78125,247.7764129638672
28,173,,,126527.859375,245.8131866455078,,,
29,174,,,,,231.24647521972656,,
29,179,,,,,198.18394470214844,,
29,179,,,,,,110784.75,240.14698791503906
29,179,,,110586.9609375,226.05072021484375,,,
30,184,,,,,232.96884155273438,,
30,185,,,,,,110407.4765625,237.80540466308594
30,185,,,102603.234375,226.91961669921875,,,
31,189,,,,,321.17584228515625,,
31,191,,,,,,137392.390625,245.01791381835938
31,191,,,114004.6484375,227.30368041992188,,,
32,194,,,,,227.49160766601562,,
32,197,,,,,,122004.046875,229.62139892578125
32,197,,,114920.2265625,225.5656280517578,,,
33,199,,,,,151.80447387695312,,
33,203,,,,,,119041.5234375,235.60426330566406
33,203,,,119060.265625,229.10665893554688,,,
34,204,,,,,219.44529724121094,,
34,209,,,,,122.1463851928711,,
34,209,,,,,,119602.453125,231.86216735839844
34,209,,,127224.9453125,237.1016082763672,,,
35,214,,,,,303.2438659667969,,
35,215,,,,,,118859.2578125,229.24244689941406
35,215,,,127879.1171875,232.17227172851562,,,
36,219,,,,,243.18887329101562,,
36,221,,,,,,117838.5,231.04942321777344
36,221,,,137096.359375,246.28717041015625,,,
37,224,,,,,252.3538055419922,,
37,227,,,,,,105873.8671875,231.64988708496094
37,227,,,128417.1796875,237.52928161621094,,,
38,229,,,,,156.08404541015625,,
38,233,,,,,,113043.8671875,229.7754364013672
38,233,,,98060.6484375,207.7783203125,,,
39,234,,,,,195.42259216308594,,
39,239,,,,,194.489013671875,,
39,239,,,,,,104734.7578125,225.0771484375
39,239,,,85228.265625,197.83267211914062,,,
40,244,,,,,198.30099487304688,,
40,245,,,,,,112843.40625,237.9363250732422
40,245,,,109178.5859375,218.48326110839844,,,
41,249,,,,,264.2574768066406,,
41,251,,,,,,144134.359375,252.3708038330078
41,251,,,124506.34375,234.9676971435547,,,
42,254,,,,,212.14178466796875,,
42,257,,,,,,114741.3984375,227.4595184326172
42,257,,,130192.96875,242.46514892578125,,,
43,259,,,,,239.0508575439453,,
43,263,,,,,,94849.9375,208.267333984375
43,263,,,115870.078125,236.72122192382812,,,
44,264,,,,,223.78115844726562,,
44,269,,,,,203.69606018066406,,
44,269,,,,,,107293.75,231.66802978515625
44,269,,,135401.765625,244.5420379638672,,,
45,274,,,,,199.11331176757812,,
45,275,,,,,,208396.046875,301.2860107421875
45,275,,,119354.6640625,242.3585968017578,,,
46,279,,,,,217.1162109375,,
46,281,,,,,,139216.390625,241.5800323486328
46,281,,,115332.203125,237.99334716796875,,,
47,284,,,,,233.4204864501953,,
47,287,,,,,,100227.71875,220.56982421875
